genre,rating,watched
"Crime, Drama",8.5,0
"Animation, Action, Adventure",8.4,0
Drama,8.7,0
"Biography, Crime, Drama",8.4,0
"Adventure, Family, Fantasy",7.1,0
Drama,7.2,0
"Comedy, Drama, Music",6.8,0
"Drama, Romance",7.5,0
"Crime, Drama, Mystery",8.4,0
"Action, Crime, Drama",7.8,0
"Drama, Romance",7.5,0
"Drama, Mystery, Thriller",8.1,0
"Drama, History, Romance",8.1,0
"Crime, Drama, Mystery",8.8,0
"Crime, Mystery, Thriller",4.7,0
"Animation, Action, Adventure",9.3,0
"Crime, Drama, Horror",8.5,0
"Action, Adventure, Sci-Fi",7.8,0
"Action, Crime, Drama",6.7,0
"Drama, Romance",5.7,0
"Comedy, Crime, Drama",7.7,0
Reality-TV,4.3,0
"Drama, History, Thriller",7.5,0
"Crime, Drama, Mystery",8.1,0
"Comedy, Drama, Romance",7.0,0
"Action, Crime, Drama",8.3,0
"Documentary, Crime",6.2,0
"Comedy, Crime, Drama",8.3,0
"Comedy, Drama, Horror",5.9,0
"Comedy, Drama",8.4,0
"Action, Crime, Drama",7.6,0
"Drama, Mystery, Thriller",,0
Comedy,8.5,0
"Action, Crime, Drama",7.3,0
"Drama, Thriller",7.0,0
"Action, Adventure, Romance",6.9,0
"Comedy, Family, Fantasy",,0
"Action, Comedy, Crime",5.5,0
"Adventure, Biography, Drama",5.9,0
"Crime, Drama, Fantasy",7.8,0
"Animation, Adventure, Comedy",7.1,0
"Drama, War",6.6,0
"Action, Drama, Fantasy",8.7,0
"Animation, Adventure, Comedy",7.0,0
"Comedy, Romance",6.3,0
"Action, Adventure, Drama",8.2,0
"Drama, Thriller",4.9,0
"Crime, Drama, Mystery",7.9,0
"Drama, Mystery, Thriller",7.5,0
Drama,8.4,0
"Biography, Drama, History",7.3,0
"Action, Adventure, Comedy",6.7,0
"Crime, Drama, Thriller",8.4,0
"Comedy, Drama, Romance",6.9,0
"Comedy, Musical, Romance",7.2,0
"Action, Crime, Drama",7.6,0
"Crime, Drama, Thriller",7.1,0
"Action, Drama, Mystery",8.6,0
"Crime, Drama, Thriller",8.1,0
"Crime, Drama, Thriller",7.4,0
"Comedy, Romance",6.4,0
"Adventure, Sci-Fi",8.3,0
